,model,acuracy,parameter
0,Naive Bayes,0.6985195917247821,p1
1,Linear SVM,0.5320932725013918,p1
2,Logistic Regression,0.5003010416083156,p1
3,Random Forest,0.7009274895076866,p1
4,Multilayer Perceptron,0.4999999818715158,p1
0,Naive Bayes,0.7046609601824161,p2
1,Linear SVM,0.594172218061735,p2
2,Logistic Regression,0.6048895966249113,p2
3,Random Forest,0.7366933028484743,p2
4,Multilayer Perceptron,0.6971946533299035,p2
0,Naive Bayes,0.7066478964341454,p3
1,Linear SVM,0.6891266258304432,p3
2,Logistic Regression,0.6369227550727578,p3
3,Random Forest,0.7677624066360405,p3
4,Multilayer Perceptron,0.7672213982826162,p3
0,Naive Bayes,0.707009124609943,p4
1,Linear SVM,0.7501813664199923,p4
2,Logistic Regression,0.7152588720348372,p4
3,Random Forest,0.7931122637201353,p4
4,Multilayer Perceptron,0.7944972255261384,p4
0,Naive Bayes,0.707009124609943,p5
1,Linear SVM,0.7672213620256478,p5
2,Logistic Regression,0.7608387759574967,p5
3,Random Forest,0.8047331659349105,p5
4,Multilayer Perceptron,0.7928714268077861,p5
